title,category,country,experienceLevel,minSalaryUSD,maxSalaryUSD,medianSalaryUSD
Frontend Developer,Engineering,USA,Entry,70000,95000,82000
Frontend Developer,Engineering,USA,Mid,100000,135000,115000
Frontend Developer,Engineering,USA,Senior,140000,190000,160000
Frontend Developer,Engineering,Canada,Entry,55000,75000,65000
Frontend Developer,Engineering,Canada,Mid,80000,110000,95000
Frontend Developer,Engineering,Canada,Senior,115000,150000,130000
Frontend Developer,Engineering,UK,Entry,35000,50000,42000
Frontend Developer,Engineering,UK,Mid,55000,80000,65000
Frontend Developer,Engineering,UK,Senior,85000,120000,100000
Frontend Developer,Engineering,Germany,Entry,45000,60000,52000
Frontend Developer,Engineering,Germany,Mid,65000,85000,75000
Frontend Developer,Engineering,Germany,Senior,90000,120000,105000
Frontend Developer,Engineering,Netherlands,Entry,40000,55000,48000
Frontend Developer,Engineering,Netherlands,Mid,60000,80000,70000
Frontend Developer,Engineering,Netherlands,Senior,85000,115000,100000
Frontend Developer,Engineering,Switzerland,Entry,85000,110000,95000
Frontend Developer,Engineering,Switzerland,Mid,115000,140000,125000
Frontend Developer,Engineering,Switzerland,Senior,145000,180000,160000
Frontend Developer,Engineering,Saudi Arabia,Entry,18000,28000,24000
Frontend Developer,Engineering,Saudi Arabia,Mid,30000,55000,42000
Frontend Developer,Engineering,Saudi Arabia,Senior,60000,90000,75000
Frontend Developer,Engineering,UAE,Entry,25000,35000,30000
Frontend Developer,Engineering,UAE,Mid,40000,65000,50000
Frontend Developer,Engineering,UAE,Senior,70000,110000,90000
Frontend Developer,Engineering,Qatar,Entry,22000,32000,27000
Frontend Developer,Engineering,Qatar,Mid,35000,60000,48000
Frontend Developer,Engineering,Qatar,Senior,65000,100000,85000
Frontend Developer,Engineering,Egypt,Entry,3000,6000,4500
Frontend Developer,Engineering,Egypt,Mid,7000,12000,9000
Frontend Developer,Engineering,Egypt,Senior,14000,25000,18000
Frontend Developer,Engineering,Syria,Entry,1500,3000,2200
Frontend Developer,Engineering,Syria,Mid,3500,6000,4800
Frontend Developer,Engineering,Syria,Senior,7000,12000,9000
Frontend Developer,Engineering,Palestine,Entry,6000,10000,8000
Frontend Developer,Engineering,Palestine,Mid,12000,24000,18000
Frontend Developer,Engineering,Palestine,Senior,25000,45000,35000
Frontend Developer,Engineering,Jordan,Entry,7000,11000,9000
Frontend Developer,Engineering,Jordan,Mid,12000,22000,16000
Frontend Developer,Engineering,Jordan,Senior,24000,40000,30000
Frontend Developer,Engineering,Morocco,Entry,5000,9000,7000
Frontend Developer,Engineering,Morocco,Mid,10000,18000,14000
Frontend Developer,Engineering,Morocco,Senior,20000,35000,28000
Frontend Developer,Engineering,India,Entry,4000,8000,6000
Frontend Developer,Engineering,India,Mid,10000,20000,15000
Frontend Developer,Engineering,India,Senior,25000,45000,35000
Frontend Developer,Engineering,Pakistan,Entry,3000,6000,4500
Frontend Developer,Engineering,Pakistan,Mid,7000,15000,10000
Frontend Developer,Engineering,Pakistan,Senior,18000,30000,24000
Frontend Developer,Engineering,Singapore,Entry,45000,65000,55000
Frontend Developer,Engineering,Singapore,Mid,70000,100000,85000
Frontend Developer,Engineering,Singapore,Senior,110000,150000,130000
Frontend Developer,Engineering,Japan,Entry,35000,50000,42000
Frontend Developer,Engineering,Japan,Mid,55000,75000,65000
Frontend Developer,Engineering,Japan,Senior,80000,110000,95000
Frontend Developer,Engineering,Australia,Entry,50000,70000,60000
Frontend Developer,Engineering,Australia,Mid,75000,105000,90000
Frontend Developer,Engineering,Australia,Senior,110000,145000,125000
Frontend Developer,Engineering,Brazil,Entry,8000,14000,11000
Frontend Developer,Engineering,Brazil,Mid,16000,28000,22000
Frontend Developer,Engineering,Brazil,Senior,30000,50000,40000
Frontend Developer,Engineering,South Africa,Entry,12000,20000,16000
Frontend Developer,Engineering,South Africa,Mid,25000,40000,32000
Frontend Developer,Engineering,South Africa,Senior,45000,70000,55000
Frontend Developer,Engineering,Nigeria,Entry,4000,8000,6000
Frontend Developer,Engineering,Nigeria,Mid,10000,18000,14000
Frontend Developer,Engineering,Nigeria,Senior,22000,35000,28000
Backend Developer,Engineering,USA,Entry,75000,100000,85000
Backend Developer,Engineering,USA,Mid,105000,140000,120000
Backend Developer,Engineering,USA,Senior,145000,195000,165000
Backend Developer,Engineering,Canada,Entry,60000,80000,70000
Backend Developer,Engineering,Canada,Mid,85000,115000,100000
Backend Developer,Engineering,Canada,Senior,120000,155000,135000
Backend Developer,Engineering,UK,Entry,40000,55000,47000
Backend Developer,Engineering,UK,Mid,60000,85000,70000
Backend Developer,Engineering,UK,Senior,90000,125000,105000
Backend Developer,Engineering,Germany,Entry,50000,65000,57000
Backend Developer,Engineering,Germany,Mid,70000,90000,80000
Backend Developer,Engineering,Germany,Senior,95000,125000,110000
Backend Developer,Engineering,Netherlands,Entry,45000,60000,52000
Backend Developer,Engineering,Netherlands,Mid,65000,85000,75000
Backend Developer,Engineering,Netherlands,Senior,90000,120000,105000
Backend Developer,Engineering,Switzerland,Entry,90000,115000,100000
Backend Developer,Engineering,Switzerland,Mid,120000,145000,130000
Backend Developer,Engineering,Switzerland,Senior,150000,185000,165000
Backend Developer,Engineering,Saudi Arabia,Entry,20000,30000,25000
Backend Developer,Engineering,Saudi Arabia,Mid,35000,60000,45000
Backend Developer,Engineering,Saudi Arabia,Senior,65000,95000,80000
Backend Developer,Engineering,UAE,Entry,28000,38000,32000
Backend Developer,Engineering,UAE,Mid,45000,70000,55000
